"","activity","subject","tBodyAccmeanX","tBodyAccmeanY","tBodyAccmeanZ","tBodyAccstdX","tBodyAccstdY","tBodyAccstdZ","tGravityAccmeanX","tGravityAccmeanY","tGravityAccmeanZ","tGravityAccstdX","tGravityAccstdY","tGravityAccstdZ","tBodyAccJerkmeanX","tBodyAccJerkmeanY","tBodyAccJerkmeanZ","tBodyAccJerkstdX","tBodyAccJerkstdY","tBodyAccJerkstdZ","tBodyGyromeanX","tBodyGyromeanY","tBodyGyromeanZ","tBodyGyrostdX","tBodyGyrostdY","tBodyGyrostdZ","tBodyGyroJerkmeanX","tBodyGyroJerkmeanY","tBodyGyroJerkmeanZ","tBodyGyroJerkstdX","tBodyGyroJerkstdY","tBodyGyroJerkstdZ","tBodyAccMagmean","tBodyAccMagstd","tGravityAccMagmean","tGravityAccMagstd","tBodyAccJerkMagmean","tBodyAccJerkMagstd","tBodyGyroMagmean","tBodyGyroMagstd","tBodyGyroJerkMagmean","tBodyGyroJerkMagstd","fBodyAccmeanX","fBodyAccmeanY","fBodyAccmeanZ","fBodyAccstdX","fBodyAccstdY","fBodyAccstdZ","fBodyAccJerkmeanX","fBodyAccJerkmeanY","fBodyAccJerkmeanZ","fBodyAccJerkstdX","fBodyAccJerkstdY","fBodyAccJerkstdZ","fBodyGyromeanX","fBodyGyromeanY","fBodyGyromeanZ","fBodyGyrostdX","fBodyGyrostdY","fBodyGyrostdZ","fBodyAccMagmean","fBodyAccMagstd","fBodyBodyAccJerkMagmean","fBodyBodyAccJerkMagstd","fBodyBodyGyroMagmean","fBodyBodyGyroMagstd","fBodyBodyGyroJerkMagmean","fBodyBodyGyroJerkMagstd"
"11","LAYING",11,15.99379934,-1.0066088982,-6.20083495,-56.13230781,-55.41522181,-55.36473708,-7.68542579,53.75202266,6.419350828,-55.83523934,-56.47363804,-56.09897856,4.369878421,0.69650496569,0.15828358618,-56.15976919,-55.44831495,-55.9803717,-1.09293988878,-2.3689194199,8.665083908,-55.90770242,-55.99923071,-54.71415367,-5.830957607,-2.350631147,-3.801657691,-55.95831579,-56.47820631,-56.23329661,-55.89540727,-55.45483428,-55.89540727,-55.45483428,-56.04984582,-55.66077694,-54.29385387,-54.41865142,-56.46655115,-56.11515917,-56.07667784,-55.37002432,-55.49387833,-56.16336608,-55.49458938,-55.38508039,-56.13843784,-55.51130231,-55.83519612,-56.26599266,-55.48874283,-56.0482681,-55.64268586,-56.0104955,-54.80176198,-55.99820137,-56.01165601,-54.90148247,-55.51765826,-55.63414865,-55.68562415,-55.58221229,-55.12432132,-54.42639605,-56.20079372,-56.06345969
"12","LAYING",12,15.60680598,-1.05122350288,-6.48960754,-57.3191208,-56.94432056,-56.90003061,-22.715523918,48.20273007,16.502591904,-56.18749856,-58.46378956,-57.57863733,5.125772363,0.4646449848,-0.262289026632,-58.156577,-57.75837161,-58.23775849,-0.8792808439,-5.013224102,8.711510877,-57.96544452,-57.23243363,-57.00944653,-5.942413783,-2.464051865,-4.0734540169,-58.03189215,-57.95402225,-58.19723578,-56.89228053,-56.19256121,-56.89228053,-56.19256121,-58.19063005,-57.75485491,-55.85043561,-56.14354295,-58.26406613,-57.7207211,-57.37490926,-57.07595826,-57.2834881,-57.31245851,-57.03840243,-56.90285002,-58.12456553,-57.79339992,-58.02898171,-58.36920067,-57.88221941,-58.36283068,-57.39923319,-57.1537032,-56.74039449,-58.15527512,-57.32062054,-57.38546294,-56.632046394,-56.52799531,-57.74690512,-57.69918024,-56.72982135,-56.42242966,-57.83697643,-57.71469674
"13","LAYING",13,17.15641435,-1.2673081707,-6.468575601,-60.07130334,-58.95877287,-58.92436572,-9.724836801,40.69685855,37.1308693,-59.38826517,-60.50878445,-59.51335755,4.760203959,1.1373397464,-0.61280161995,-61.0960369,-60.76944526,-60.95038076,-0.603638180188,-5.990754349,7.304816117,-60.27289516,-59.68768644,-59.97573185,-6.313805577,-2.5900128023,-4.022376602,-60.84709406,-60.68899434,-61.36769605,-59.55210163,-58.77257429,-59.55210163,-58.77257429,-61.09900694,-60.76410709,-58.54679294,-58.57062382,-61.09766842,-60.45702495,-60.43244907,-59.88231295,-59.91032613,-59.95152548,-58.74266435,-58.64283242,-61.08238043,-60.78325852,-60.82166532,-61.19884686,-60.84644422,-60.98754306,-60.10673638,-60.05876321,-60.08586658,-60.35370113,-59.51653584,-60.1274273,-59.4912006,-58.86474179,-60.80677193,-60.63874967,-59.37626052,-58.66027279,-60.64535047,-60.3135152
"14","LAYING",14,11.89704743,-0.5784657277,-4.4284999091,-46.792596254,-46.39454909,-45.916928006,-7.419665213,24.7552433,42.66470841,-43.9689838,-48.38751805,-45.96649667,5.0051596271,-0.4240686004,-1.65036767573,-49.54515141,-49.37450849,-49.59402463,0.25766280262,-7.824614195,7.60532697,-48.81827177,-47.55748881,-48.56714523,-5.377778488,-1.900654730789,-2.887476527,-49.4840231,-49.37018757,-49.96528002,-46.20489076,-43.68624908,-46.20489076,-43.68624908,-49.60139604,-49.28899636,-46.13793634,-46.58509248,-49.75668034,-49.16450602,-47.63074509,-47.44871221,-47.32199766,-46.510605413,-46.166273507,-45.59684126,-49.57254617,-49.43644834,-49.39825298,-49.64806079,-49.42477786,-49.72063593,-48.44791107,-47.84248281,-48.40446531,-48.94676492,-47.42772576,-48.84731447,-45.872647111,-43.8399084,-49.36741841,-49.14397913,-47.43773829,-46.80576535,-49.2892225,-49.14696692
"15","LAYING",15,20.84224698,-1.19733510279,-8.534177301,-70.00239971,-69.31867841,-66.93025214,-12.383499924,64.74546382,-2.65818892,-69.22870149,-70.99460585,-68.45114571,5.526111158,0.89268675398,-0.31962814694,-70.68523585,-69.90635432,-70.44501287,-1.2117663921,-4.461846278,8.168536785,-68.91607301,-69.20228965,-68.87066772,-7.363203425,-2.9943285707,-4.4952088049,-70.12252449,-70.59476408,-70.56811676,-68.78452763,-67.91861577,-68.78452763,-67.91861577,-70.55209643,-70.10240132,-68.01156916,-66.53109655,-70.79292183,-70.102803,-70.12916471,-69.29720095,-68.51274813,-69.96375537,-69.45051097,-66.52252742,-70.65575993,-69.89999196,-70.18384923,-70.84434893,-70.07150302,-70.61364701,-68.78977892,-69.43038434,-68.98968719,-68.99216367,-69.11941731,-69.12113984,-68.83207445,-68.07661632,-70.10504804,-70.02216561,-68.17051025,-66.50512163,-70.25240548,-70.03049117
"16","LAYING",16,19.19590138,-1.16272457394,-7.511734527,-68.15840006,-66.01428052,-67.58431934,-14.474861957,-1.39489158,62.5719128,-67.46333845,-67.62609727,-67.75202014,5.48772188,0.92963538028,-0.107873562835,-69.18917067,-68.94071008,-69.13508889,-1.130817848,-7.957254262,6.763472446,-68.39075389,-67.95232598,-68.93470394,-7.154670054,-2.4341472811,-4.037533046,-69.00848216,-69.23326032,-69.61256104,-67.32842444,-67.05271494,-67.32842444,-67.05271494,-69.18447596,-69.15237025,-66.62439697,-67.13140254,-69.35876684,-69.17486978,-68.61492312,-67.45449026,-68.22060484,-67.99863526,-65.59585457,-67.37670609,-69.20060324,-68.9327049,-68.98814617,-69.25011514,-69.03505091,-69.18442332,-68.31246852,-68.32650444,-69.01704516,-68.42567085,-67.76946763,-69.00116971,-67.76143649,-67.06783271,-69.12601676,-69.1073012,-67.91747472,-67.12825588,-69.20866944,-69.16408808
"17","LAYING",17,19.154386076,-1.19608024778,-7.597445859,-69.08020028,-67.08029414,-67.69684571,-14.13844939,46.77423713,51.30868265,-68.23548879,-68.26413437,-67.95868413,5.5315372006,0.50187564129,-0.01019152066,-69.68572022,-69.36419854,-69.77972304,-1.666770916504,-6.706519367,7.912274812,-69.28840739,-68.97538787,-69.31025476,-7.245533241,-2.569924122,-4.294982029,-69.63625842,-69.80262736,-70.16374165,-67.66452019,-67.32631754,-67.66452019,-67.32631754,-69.69414158,-69.58899892,-68.21205164,-68.11211041,-69.97351119,-69.7247066,-69.17950889,-67.78001526,-68.5438325,-69.0431353,-66.93820473,-67.45830391,-69.68451691,-69.38207953,-69.6069842,-69.80814035,-69.46241802,-69.85364528,-69.00839399,-69.130506,-69.3077045,-69.38144838,-68.91457429,-69.46335595,-68.23428917,-67.38201975,-69.55779963,-69.55566343,-68.80002558,-68.16169258,-69.77635238,-69.72082407
"18","LAYING",18,17.8549525,-1.13059495,-7.000430314,-63.9942972,-64.10045986,-64.19781305,-14.33903309,46.78410124,39.35719565,-63.87653919,-64.61607897,-64.41222122,4.87490257,0.7606232492,-0.07887412873,-64.08486962,-64.06103206,-64.392916,-1.6364517442,-5.444317503,6.095582663,-64.53671887,-63.97318674,-64.03204511,-6.481502536,-2.557361247,-3.855383913,-64.74678869,-64.38559652,-64.51562662,-64.1196557,-64.12019527,-64.1196557,-64.12019527,-64.2409001,-64.31920804,-63.74815504,-63.73645706,-64.55118297,-64.48994851,-64.03669819,-64.0191425,-64.25944891,-63.98092079,-64.1385193,-64.16961228,-64.11630611,-64.08124614,-64.29259628,-64.13168098,-64.10369558,-64.39840894,-64.5084003,-64.06472614,-64.02495395,-64.54625916,-63.92475537,-64.12139813,-64.14124678,-64.19715149,-64.25564719,-64.33119269,-63.98139099,-63.79547471,-64.47356549,-64.52796751
"19","LAYING",19,22.63025988,-1.4228429747,-9.045461335,-80.0966251,-80.79634739,-81.72784549,-56.44358187,60.22866969,57.07277976,-79.59364772,-81.92043142,-82.07197962,6.4102393888,0.92541458446,-0.082061340992,-81.63923355,-80.88553538,-82.02559503,-2.5902036636444,-7.906812517,9.01422444,-81.45268175,-79.98026957,-80.77539448,-7.934951614,-3.08325575553,-4.973040267,-81.01677007,-81.7224415,-81.91754421,-80.19964697,-79.94505959,-80.19964697,-79.94505959,-81.73710022,-81.39546789,-79.12086492,-79.34025166,-81.78342731,-81.3603774,-80.88629959,-80.7423024,-81.78325713,-79.8530551,-80.91106228,-81.73350285,-81.62872063,-80.91489649,-81.88003857,-81.77807458,-81.00502126,-82.05037238,-80.85828606,-80.68106329,-80.8363836,-81.66741799,-79.66600336,-80.95965448,-80.67246431,-80.01671224,-81.39158982,-81.29453164,-80.14685213,-79.47217003,-81.49690904,-81.28421134
"20","LAYING",20,16.28653599,-0.9819627117,-7.0906539326,-65.4329398,-65.55867626,-66.13489589,-32.125336259,58.81204105,32.47498474,-63.14984663,-66.36925643,-66.40326157,6.070468844,0.07535929686,-0.210726455667,-66.93040952,-66.43617726,-66.97926724,-1.5759721909,-6.493317457,8.410254275,-66.94446417,-66.1600499,-66.12387276,-6.76622487,-2.636788264,-4.148192393,-67.27128326,-66.74472422,-67.09359634,-65.33053258,-63.88528223,-65.33053258,-63.88528223,-66.95756502,-66.65099472,-65.31042133,-65.42644466,-67.09896606,-66.71339251,-65.66955715,-65.66052517,-66.39470029,-65.34785769,-65.61734721,-66.08929008,-66.90451899,-66.45100811,-66.83558242,-67.06254405,-66.53469838,-67.02813083,-66.81811944,-66.17216201,-66.11494504,-66.99051202,-66.17029123,-66.29967816,-64.79224085,-64.048797814,-66.61929115,-66.61043339,-65.9485924,-65.56600225,-66.7161478,-66.7750584
"21","LAYING",21,24.419292521,-1.65809743574,-9.292844901,-85.95178796,-86.126348,-85.1088409,-15.691425734,53.99934102,70.94259244,-85.13147435,-88.53596425,-85.71746992,7.3813518097,1.07949303907,-1.25148094732,-88.63438688,-87.44262779,-88.55798798,-2.746135699,-10.242043774,8.828158653,-87.78706718,-85.69323823,-88.32108878,-8.6770653756,-3.1164755945,-5.412587972,-88.61793456,-88.3798648,-88.98745461,-85.73369249,-84.79677883,-85.73369249,-84.79677883,-88.45202975,-88.06973569,-85.43510012,-85.43602332,-88.73243162,-88.40218244,-87.1410938,-86.40623223,-86.55949715,-85.58365061,-86.1533074,-84.68271059,-88.57699571,-87.48354754,-88.34677248,-88.83552391,-87.58479895,-88.64327436,-87.60694257,-86.84712047,-88.27300945,-87.86042279,-85.19398699,-88.49436366,-85.83921641,-85.00041638,-88.05997115,-87.9844391,-86.61141116,-85.47629176,-88.46939836,-88.40746057
"22","LAYING",22,20.157099926,-1.02693502442,-7.977666575,-68.23693814,-65.75589372,-67.89209817,-30.13160955,45.53885345,55.57708131,-66.87224993,-69.0355395761,-68.57534802,5.415856144,0.33108102305,-0.3365558958,-69.86557379,-68.77090993,-70.16594486,-1.4998418721,-6.665206446,10.440279311,-68.87821722,-69.2557173,-67.19413469,-7.2146833,-2.70782860068,-5.059609691,-69.99066741,-70.59486034,-70.46181373,-67.31955355,-65.477358803,-67.31955355,-65.477358803,-69.92422411,-69.10918717,-66.71637888,-66.52163275,-70.68361942,-70.14252175,-68.67061508,-66.63777865,-68.70378496,-68.08729018,-65.70452568,-67.7638045,-69.80906354,-68.74799503,-69.9061638,-70.1370769,-69.04518894,-70.33198781,-68.64241824,-69.45827462,-67.86505731,-68.97823106,-69.17121033,-67.46152598,-66.94696735,-65.755242091,-69.31114499,-68.80576424,-68.11602055,-66.49576979,-70.31800663,-70.0408095
"23","LAYING",23,19.730736575,-1.559187618,-7.506487893,-68.88645815,-70.29430757,-70.07209167,-28.19267732,31.56725285,66.15236342,-68.25231059,-70.76120853,-70.32819327,5.98887078,1.10530368369,-0.4523292434,-71.01795217,-71.1800364,-70.89577032,-0.81647801758,-7.563810024,7.997658819,-70.69315687,-69.06205702,-70.84224955,-7.345794443,-2.6816382041,-4.478339708,-70.92200523,-70.51879897,-71.63344691,-69.33306217,-68.96678332,-69.33306217,-68.96678332,-71.06473421,-71.04136691,-68.35809607,-68.92038619,-70.88813846,-70.65466788,-69.84268116,-70.7092053,-70.3810954,-68.57358895,-70.14989874,-70.00281238,-71.00673546,-71.15257902,-70.73391685,-71.12454139,-71.27968442,-70.95614486,-70.53667762,-69.72977781,-70.86519416,-70.75189531,-68.75980629,-70.94288457,-69.67778783,-69.00953007,-70.98521068,-71.03089445,-69.56923305,-69.04983875,-70.69297351,-70.67413017
"24","LAYING",24,19.645235635,-1.2495975128,-7.721009081,-69.69484952,-70.78510526,-70.09682104,-25.86906245,53.16701035,49.2364735,-69.14967583,-71.52871378,-70.50525611,5.811928758,0.86270057409,-0.42424261193,-71.01831123,-70.73499564,-70.78229041,-1.034495492,-6.879873986,8.044613736,-70.75092385,-69.14156767,-70.68249801,-7.402594295,-2.752730715,-4.493642161,-70.55033188,-70.42257452,-71.45147491,-69.97349106,-69.79354806,-69.97349106,-69.79354806,-70.95810748,-70.81962677,-68.67298891,-68.9637553,-70.76022292,-70.46345536,-70.26434547,-70.61978607,-70.31770673,-69.49202989,-70.88917021,-70.06016029,-70.99189537,-70.7141242,-70.67157765,-71.14611728,-70.85696633,-70.78936593,-70.31308061,-69.56006258,-70.6386986,-70.89935646,-68.96109231,-70.81939769,-70.0683169,-69.91653773,-70.78378207,-70.79652837,-69.40809961,-69.21857409,-70.45896533,-70.56698264
"25","LAYING",25,18.3078034888,-1.3792887448,-7.331304609,-66.36550261,-50.499259681,-52.360126293,-33.66048479,45.308101154,38.423828737,-60.55751119,-46.981220384,-44.541765139,6.41722332,2.07772097413,-2.2424098778,-71.0526091,-69.03516339,-70.65199342,0.2720881255,-5.2297326009,10.199463017,-64.9531837,-68.37404864,-66.49774327,-7.420230952,-3.11504775305,-4.3575316746,-69.88882359,-70.92419558,-71.11968458,-40.914877655,-47.39559806,-40.914877655,-47.39559806,-70.23777898,-70.22100719,-59.10726381,-62.48926799,-70.79417816,-70.68659515,-67.8277581,-57.301044794,-59.58245061,-65.88598301,-49.084050666,-50.6693268649,-71.01871326,-69.11654626,-70.27218524,-71.27895088,-69.23424343,-70.94763202,-65.00778037,-69.07695367,-67.49119082,-65.06548904,-68.05741344,-66.82912781,-56.537181884,-47.54878664,-70.08606976,-70.34288854,-66.43927053,-62.09827787,-70.68236745,-70.84343017
"26","LAYING",26,20.6450857051,-1.458407533,-7.980193062,-73.67785384,-74.72558274,-74.822001,-47.21953836,61.02914088,46.70377885,-71.77990913,-75.07948764,-74.79020988,6.585419222,0.9455922547,-0.467213874984,-75.18800269,-75.02589947,-75.1689118,-1.2969874204,-6.864542139,11.585162169,-75.26494303,-74.42875159,-73.66697007,-7.628016706,-3.014788675,-5.407653504,-75.44255177,-75.16881399,-75.52574798,-74.23566322,-73.29099447,-74.23566322,-73.29099447,-75.23776592,-75.17174816,-72.3416332,-73.39143847,-75.40704648,-75.23371894,-73.96793398,-74.75846661,-74.85415739,-73.56586375,-74.73209838,-74.84894108,-75.18102734,-75.02074614,-75.03542717,-75.27116813,-75.10613729,-75.1921573,-75.11736069,-74.71772795,-73.73301269,-75.31372909,-74.2893801,-73.85596755,-73.66445267,-73.45982401,-75.17450202,-75.08051121,-74.04719365,-73.42658062,-75.27274947,-75.21172893
